relationship_id,job_id,skill_id,importance,proficiency_required
JS0001,J001,S001,Essential,Intermediate
JS0002,J001,S002,Preferred,Advanced
JS0003,J001,S003,Essential,Advanced
JS0004,J001,S038,Essential,Intermediate
JS0005,J001,S056,Nice-to-have,Intermediate
JS0006,J001,S058,Essential,Intermediate
JS0007,J002,S001,Essential,Advanced
JS0008,J002,S002,Essential,Advanced
JS0009,J002,S003,Nice-to-have,Advanced
JS0010,J002,S038,Nice-to-have,Beginner
JS0011,J002,S056,Essential,Advanced
JS0012,J002,S058,Nice-to-have,Beginner
JS0013,J003,S001,Preferred,Advanced
JS0014,J003,S002,Essential,Beginner
JS0015,J003,S003,Essential,Intermediate
JS0016,J003,S038,Nice-to-have,Intermediate
JS0017,J003,S056,Preferred,Beginner
JS0018,J003,S058,Preferred,Intermediate
JS0019,J004,S003,Nice-to-have,Intermediate
JS0020,J004,S011,Nice-to-have,Intermediate
JS0021,J004,S004,Preferred,Beginner
JS0022,J004,S056,Essential,Intermediate
JS0023,J005,S001,Essential,Advanced
JS0024,J005,S014,Preferred,Intermediate
JS0025,J005,S016,Essential,Intermediate
JS0026,J005,S021,Nice-to-have,Beginner
JS0027,J005,S023,Nice-to-have,Beginner
JS0028,J006,S056,Essential,Beginner
JS0029,J006,S055,Preferred,Advanced
JS0030,J006,S058,Preferred,Intermediate
JS0031,J006,S057,Essential,Advanced
JS0032,J007,S056,Essential,Expert
JS0033,J007,S055,Nice-to-have,Beginner
JS0034,J007,S058,Essential,Beginner
JS0035,J007,S057,Essential,Advanced
JS0036,J008,S034,Essential,Beginner
JS0037,J008,S035,Nice-to-have,Beginner
JS0038,J008,S031,Essential,Advanced
JS0039,J008,S037,Preferred,Advanced
JS0040,J008,S086,Nice-to-have,Expert
JS0041,J009,S056,Nice-to-have,Advanced
JS0042,J009,S055,Preferred,Advanced
JS0043,J009,S058,Essential,Beginner
JS0044,J009,S057,Nice-to-have,Expert
JS0045,J010,S056,Preferred,Advanced
JS0046,J010,S055,Essential,Expert
JS0047,J010,S058,Essential,Intermediate
JS0048,J010,S057,Essential,Advanced
JS0049,J011,S001,Essential,Expert
JS0050,J011,S010,Essential,Expert
JS0051,J011,S041,Nice-to-have,Expert
JS0052,J011,S045,Preferred,Intermediate
JS0053,J011,S046,Essential,Beginner
JS0054,J012,S056,Preferred,Intermediate
JS0055,J012,S055,Preferred,Expert
JS0056,J012,S058,Essential,Expert
JS0057,J012,S057,Essential,Beginner
JS0058,J013,S056,Essential,Intermediate
JS0059,J013,S055,Preferred,Advanced
JS0060,J013,S058,Essential,Beginner
JS0061,J013,S057,Essential,Intermediate
JS0062,J014,S056,Preferred,Expert
JS0063,J014,S055,Essential,Intermediate
JS0064,J014,S058,Preferred,Beginner
JS0065,J014,S057,Essential,Intermediate
JS0066,J015,S056,Essential,Intermediate
JS0067,J015,S055,Essential,Expert
JS0068,J015,S058,Essential,Advanced
JS0069,J015,S057,Essential,Expert
JS0070,J016,S071,Essential,Beginner
JS0071,J016,S055,Nice-to-have,Advanced
JS0072,J017,S071,Essential,Beginner
JS0073,J017,S055,Nice-to-have,Beginner
JS0074,J018,S071,Nice-to-have,Expert
JS0075,J018,S055,Essential,Advanced
JS0076,J019,S071,Essential,Intermediate
JS0077,J019,S055,Preferred,Intermediate
JS0078,J020,S073,Essential,Advanced
JS0079,J020,S071,Essential,Intermediate
JS0080,J020,S077,Essential,Advanced
JS0081,J021,S061,Essential,Intermediate
JS0082,J021,S067,Preferred,Intermediate
JS0083,J021,S066,Essential,Beginner
JS0084,J021,S057,Nice-to-have,Advanced
JS0085,J022,S061,Essential,Expert
JS0086,J022,S067,Essential,Expert
JS0087,J022,S055,Nice-to-have,Advanced
JS0088,J023,S061,Essential,Intermediate
JS0089,J023,S067,Nice-to-have,Beginner
JS0090,J023,S055,Nice-to-have,Expert
JS0091,J024,S061,Nice-to-have,Intermediate
JS0092,J024,S067,Essential,Intermediate
JS0093,J024,S055,Nice-to-have,Beginner
JS0094,J025,S061,Essential,Advanced
JS0095,J025,S067,Essential,Advanced
JS0096,J025,S055,Nice-to-have,Advanced
JS0097,J026,S055,Nice-to-have,Advanced
JS0098,J026,S056,Preferred,Expert
JS0099,J026,S058,Essential,Intermediate
JS0100,J026,S054,Nice-to-have,Intermediate
JS0101,J027,S055,Essential,Intermediate
JS0102,J027,S056,Essential,Advanced
JS0103,J027,S058,Essential,Expert
JS0104,J027,S054,Nice-to-have,Expert
JS0105,J028,S055,Essential,Expert
JS0106,J028,S056,Essential,Advanced
JS0107,J028,S058,Nice-to-have,Intermediate
JS0108,J028,S054,Nice-to-have,Beginner
JS0109,J029,S055,Nice-to-have,Beginner
JS0110,J029,S056,Nice-to-have,Expert
JS0111,J029,S058,Essential,Advanced
JS0112,J029,S054,Preferred,Advanced
JS0113,J030,S055,Essential,Intermediate
JS0114,J030,S056,Preferred,Intermediate
JS0115,J030,S058,Essential,Expert
JS0116,J030,S054,Essential,Intermediate
JS0117,J031,S055,Essential,Advanced
JS0118,J031,S056,Essential,Intermediate
JS0119,J031,S058,Essential,Expert
JS0120,J031,S054,Essential,Advanced
JS0121,J032,S051,Essential,Intermediate
JS0122,J032,S054,Nice-to-have,Beginner
JS0123,J032,S055,Preferred,Advanced
JS0124,J033,S055,Preferred,Advanced
JS0125,J033,S056,Preferred,Expert
JS0126,J033,S058,Essential,Beginner
JS0127,J033,S054,Nice-to-have,Beginner
JS0128,J034,S055,Essential,Intermediate
JS0129,J034,S056,Nice-to-have,Intermediate
JS0130,J034,S058,Essential,Advanced
JS0131,J034,S054,Preferred,Advanced
JS0132,J035,S055,Preferred,Intermediate
JS0133,J035,S056,Essential,Beginner
JS0134,J035,S058,Preferred,Advanced
JS0135,J035,S054,Nice-to-have,Beginner
JS0136,J036,S055,Essential,Beginner
JS0137,J036,S056,Essential,Advanced
JS0138,J036,S058,Preferred,Intermediate
JS0139,J036,S054,Essential,Advanced
JS0140,J037,S055,Preferred,Beginner
JS0141,J037,S056,Essential,Beginner
JS0142,J037,S058,Essential,Beginner
JS0143,J037,S054,Nice-to-have,Beginner
JS0144,J038,S055,Essential,Intermediate
JS0145,J038,S056,Nice-to-have,Beginner
JS0146,J038,S058,Essential,Intermediate
JS0147,J038,S054,Preferred,Advanced
JS0148,J039,S055,Preferred,Advanced
JS0149,J039,S056,Nice-to-have,Expert
JS0150,J039,S058,Essential,Intermediate
JS0151,J039,S054,Essential,Advanced
JS0152,J040,S055,Essential,Beginner
JS0153,J040,S056,Essential,Expert
JS0154,J040,S058,Essential,Intermediate
JS0155,J040,S054,Preferred,Beginner
JS0156,J041,S055,Essential,Beginner
JS0157,J041,S056,Essential,Advanced
JS0158,J041,S058,Essential,Beginner
JS0159,J041,S054,Nice-to-have,Advanced
JS0160,J042,S055,Essential,Advanced
JS0161,J042,S056,Essential,Expert
JS0162,J042,S058,Essential,Advanced
JS0163,J042,S054,Preferred,Expert
JS0164,J043,S055,Essential,Beginner
JS0165,J043,S056,Essential,Intermediate
JS0166,J043,S058,Nice-to-have,Intermediate
JS0167,J043,S054,Nice-to-have,Advanced
JS0168,J044,S055,Essential,Expert
JS0169,J044,S056,Preferred,Beginner
JS0170,J044,S058,Essential,Advanced
JS0171,J044,S054,Essential,Advanced
JS0172,J045,S055,Nice-to-have,Beginner
JS0173,J045,S056,Preferred,Intermediate
JS0174,J045,S058,Preferred,Beginner
JS0175,J045,S054,Nice-to-have,Beginner
JS0176,J046,S055,Essential,Intermediate
JS0177,J046,S056,Preferred,Advanced
JS0178,J046,S058,Preferred,Intermediate
JS0179,J046,S054,Essential,Expert
JS0180,J047,S055,Preferred,Beginner
JS0181,J047,S056,Nice-to-have,Intermediate
JS0182,J047,S058,Nice-to-have,Advanced
JS0183,J047,S054,Preferred,Intermediate
JS0184,J048,S055,Nice-to-have,Intermediate
JS0185,J048,S056,Essential,Beginner
JS0186,J048,S058,Nice-to-have,Intermediate
JS0187,J048,S054,Preferred,Beginner
JS0188,J049,S055,Essential,Beginner
JS0189,J049,S056,Preferred,Expert
JS0190,J049,S058,Preferred,Expert
JS0191,J049,S054,Preferred,Advanced
JS0192,J050,S055,Essential,Expert
JS0193,J050,S056,Nice-to-have,Advanced
JS0194,J050,S058,Preferred,Expert
JS0195,J050,S054,Essential,Beginner
JS0196,J051,S055,Preferred,Advanced
JS0197,J051,S056,Nice-to-have,Beginner
JS0198,J051,S058,Nice-to-have,Expert
JS0199,J051,S054,Nice-to-have,Advanced
JS0200,J052,S055,Nice-to-have,Advanced
JS0201,J052,S056,Essential,Beginner
JS0202,J052,S058,Preferred,Intermediate
JS0203,J052,S054,Essential,Beginner
JS0204,J053,S055,Essential,Advanced
JS0205,J053,S056,Essential,Intermediate
JS0206,J053,S058,Essential,Advanced
JS0207,J053,S054,Nice-to-have,Intermediate
JS0208,J054,S055,Nice-to-have,Expert
JS0209,J054,S056,Essential,Expert
JS0210,J054,S058,Nice-to-have,Expert
JS0211,J054,S054,Essential,Advanced
JS0212,J055,S055,Essential,Intermediate
JS0213,J055,S056,Nice-to-have,Advanced
JS0214,J055,S058,Essential,Expert
JS0215,J055,S054,Essential,Advanced
JS0216,J056,S055,Essential,Expert
JS0217,J056,S056,Essential,Expert
JS0218,J056,S058,Preferred,Expert
JS0219,J056,S054,Nice-to-have,Expert
JS0220,J057,S055,Essential,Expert
JS0221,J057,S056,Nice-to-have,Beginner
JS0222,J057,S058,Essential,Beginner
JS0223,J057,S054,Nice-to-have,Advanced
JS0224,J058,S055,Preferred,Expert
JS0225,J058,S056,Essential,Beginner
JS0226,J058,S058,Essential,Beginner
JS0227,J058,S054,Preferred,Beginner
JS0228,J059,S055,Essential,Advanced
JS0229,J059,S056,Essential,Advanced
JS0230,J059,S058,Nice-to-have,Advanced
JS0231,J059,S054,Essential,Intermediate
JS0232,J060,S055,Nice-to-have,Expert
JS0233,J060,S056,Preferred,Expert
JS0234,J060,S058,Nice-to-have,Intermediate
JS0235,J060,S054,Essential,Expert
JS0236,J061,S055,Nice-to-have,Intermediate
JS0237,J061,S056,Nice-to-have,Expert
JS0238,J061,S058,Essential,Beginner
JS0239,J061,S054,Preferred,Expert
JS0240,J062,S055,Nice-to-have,Advanced
JS0241,J062,S056,Nice-to-have,Advanced
JS0242,J062,S058,Preferred,Expert
JS0243,J062,S054,Nice-to-have,Intermediate
JS0244,J063,S055,Nice-to-have,Beginner
JS0245,J063,S056,Nice-to-have,Advanced
JS0246,J063,S058,Nice-to-have,Advanced
JS0247,J063,S054,Essential,Expert
JS0248,J064,S055,Essential,Intermediate
JS0249,J064,S056,Nice-to-have,Advanced
JS0250,J064,S058,Nice-to-have,Advanced
JS0251,J064,S054,Essential,Beginner
JS0252,J065,S055,Nice-to-have,Beginner
JS0253,J065,S056,Essential,Expert
JS0254,J065,S058,Preferred,Beginner
JS0255,J065,S054,Nice-to-have,Beginner
JS0256,J066,S055,Nice-to-have,Beginner
JS0257,J066,S056,Essential,Expert
JS0258,J066,S058,Essential,Intermediate
JS0259,J066,S054,Preferred,Advanced
JS0260,J067,S055,Essential,Intermediate
JS0261,J067,S056,Essential,Advanced
JS0262,J067,S058,Essential,Intermediate
JS0263,J067,S054,Essential,Advanced
JS0264,J068,S055,Essential,Expert
JS0265,J068,S056,Essential,Advanced
JS0266,J068,S058,Nice-to-have,Beginner
JS0267,J068,S054,Preferred,Advanced
JS0268,J069,S055,Essential,Advanced
JS0269,J069,S056,Preferred,Intermediate
JS0270,J069,S058,Essential,Beginner
JS0271,J069,S054,Nice-to-have,Expert
JS0272,J070,S055,Essential,Intermediate
JS0273,J070,S056,Essential,Intermediate
JS0274,J070,S058,Preferred,Intermediate
JS0275,J070,S054,Essential,Beginner
JS0276,J071,S001,Nice-to-have,Beginner
JS0277,J071,S002,Essential,Beginner
JS0278,J071,S003,Essential,Expert
JS0279,J071,S038,Nice-to-have,Intermediate
JS0280,J071,S056,Nice-to-have,Beginner
JS0281,J071,S058,Nice-to-have,Advanced
JS0282,J072,S001,Nice-to-have,Advanced
JS0283,J072,S002,Preferred,Expert
JS0284,J072,S003,Nice-to-have,Expert
JS0285,J072,S038,Preferred,Beginner
JS0286,J072,S056,Essential,Intermediate
JS0287,J072,S058,Preferred,Expert
JS0288,J073,S001,Essential,Expert
JS0289,J073,S002,Nice-to-have,Beginner
JS0290,J073,S003,Essential,Expert
JS0291,J073,S038,Preferred,Advanced
JS0292,J073,S056,Nice-to-have,Advanced
JS0293,J073,S058,Preferred,Beginner
JS0294,J074,S001,Preferred,Beginner
JS0295,J074,S002,Preferred,Intermediate
JS0296,J074,S003,Essential,Intermediate
JS0297,J074,S038,Essential,Expert
JS0298,J074,S056,Nice-to-have,Advanced
JS0299,J074,S058,Nice-to-have,Expert
JS0300,J075,S001,Nice-to-have,Intermediate
JS0301,J075,S002,Essential,Beginner
JS0302,J075,S003,Essential,Expert
JS0303,J075,S038,Essential,Beginner
JS0304,J075,S056,Preferred,Expert
JS0305,J075,S058,Preferred,Expert
JS0306,J076,S001,Preferred,Beginner
JS0307,J076,S010,Nice-to-have,Beginner
JS0308,J076,S041,Preferred,Beginner
JS0309,J076,S045,Essential,Intermediate
JS0310,J076,S046,Essential,Beginner
JS0311,J077,S001,Essential,Advanced
JS0312,J077,S010,Essential,Advanced
JS0313,J077,S041,Nice-to-have,Beginner
JS0314,J077,S045,Preferred,Intermediate
JS0315,J077,S046,Essential,Beginner
JS0316,J078,S001,Essential,Beginner
JS0317,J078,S010,Essential,Beginner
JS0318,J078,S041,Essential,Advanced
JS0319,J078,S045,Preferred,Intermediate
JS0320,J078,S046,Essential,Beginner
JS0321,J079,S001,Essential,Expert
JS0322,J079,S010,Essential,Intermediate
JS0323,J079,S041,Preferred,Expert
JS0324,J079,S045,Nice-to-have,Expert
JS0325,J079,S046,Preferred,Advanced
JS0326,J080,S001,Essential,Beginner
JS0327,J080,S010,Nice-to-have,Intermediate
JS0328,J080,S041,Essential,Expert
JS0329,J080,S045,Nice-to-have,Intermediate
JS0330,J080,S046,Essential,Advanced
JS0331,J081,S064,Essential,Beginner
JS0332,J081,S065,Essential,Advanced
JS0333,J081,S054,Essential,Expert
JS0334,J082,S064,Essential,Expert
JS0335,J082,S065,Nice-to-have,Expert
JS0336,J082,S054,Preferred,Expert
JS0337,J083,S064,Preferred,Intermediate
JS0338,J083,S065,Essential,Advanced
JS0339,J083,S054,Essential,Beginner
JS0340,J084,S064,Essential,Advanced
JS0341,J084,S065,Essential,Advanced
JS0342,J084,S054,Essential,Advanced
JS0343,J085,S064,Essential,Expert
JS0344,J085,S065,Nice-to-have,Expert
JS0345,J085,S054,Preferred,Intermediate
JS0346,J086,S056,Essential,Beginner
JS0347,J086,S055,Preferred,Expert
JS0348,J086,S058,Essential,Advanced
JS0349,J086,S057,Preferred,Advanced
JS0350,J087,S056,Nice-to-have,Intermediate
JS0351,J087,S055,Essential,Advanced
JS0352,J087,S058,Preferred,Advanced
JS0353,J087,S057,Essential,Intermediate
JS0354,J088,S056,Essential,Beginner
JS0355,J088,S055,Preferred,Expert
JS0356,J088,S058,Essential,Expert
JS0357,J088,S057,Preferred,Expert
JS0358,J089,S056,Preferred,Expert
JS0359,J089,S055,Nice-to-have,Intermediate
JS0360,J089,S058,Essential,Expert
JS0361,J089,S057,Preferred,Beginner
JS0362,J090,S056,Essential,Intermediate
JS0363,J090,S055,Essential,Intermediate
JS0364,J090,S058,Preferred,Intermediate
JS0365,J090,S057,Essential,Expert
JS0366,J091,S056,Nice-to-have,Beginner
JS0367,J091,S055,Essential,Expert
JS0368,J091,S058,Nice-to-have,Intermediate
JS0369,J091,S057,Nice-to-have,Beginner
JS0370,J092,S056,Nice-to-have,Beginner
JS0371,J092,S055,Preferred,Intermediate
JS0372,J092,S058,Essential,Beginner
JS0373,J092,S057,Nice-to-have,Expert
JS0374,J093,S056,Preferred,Expert
JS0375,J093,S055,Essential,Expert
JS0376,J093,S058,Essential,Beginner
JS0377,J093,S057,Preferred,Beginner
JS0378,J094,S056,Essential,Expert
JS0379,J094,S055,Essential,Expert
JS0380,J094,S058,Nice-to-have,Intermediate
JS0381,J094,S057,Essential,Beginner
JS0382,J095,S056,Nice-to-have,Expert
JS0383,J095,S055,Essential,Advanced
JS0384,J095,S058,Preferred,Advanced
JS0385,J095,S057,Preferred,Expert
JS0386,J096,S063,Nice-to-have,Intermediate
JS0387,J096,S055,Essential,Advanced
JS0388,J097,S063,Essential,Beginner
JS0389,J097,S055,Essential,Expert
JS0390,J098,S063,Essential,Advanced
JS0391,J098,S055,Essential,Expert
JS0392,J099,S063,Essential,Advanced
JS0393,J099,S055,Nice-to-have,Beginner
JS0394,J100,S063,Preferred,Expert
JS0395,J100,S055,Nice-to-have,Expert
JS0396,J101,S056,Essential,Expert
JS0397,J101,S055,Essential,Expert
JS0398,J101,S058,Essential,Advanced
JS0399,J101,S057,Essential,Beginner
JS0400,J102,S056,Nice-to-have,Beginner
JS0401,J102,S055,Preferred,Intermediate
JS0402,J102,S058,Preferred,Beginner
JS0403,J102,S057,Nice-to-have,Advanced
JS0404,J103,S056,Nice-to-have,Expert
JS0405,J103,S055,Preferred,Beginner
JS0406,J103,S058,Nice-to-have,Expert
JS0407,J103,S057,Preferred,Advanced
JS0408,J104,S056,Essential,Expert
JS0409,J104,S055,Essential,Expert
JS0410,J104,S058,Essential,Beginner
JS0411,J104,S057,Nice-to-have,Expert
JS0412,J105,S056,Nice-to-have,Advanced
JS0413,J105,S055,Nice-to-have,Intermediate
JS0414,J105,S058,Essential,Beginner
JS0415,J105,S057,Essential,Expert
JS0416,J106,S056,Essential,Expert
JS0417,J106,S055,Essential,Advanced
JS0418,J106,S058,Nice-to-have,Advanced
JS0419,J106,S057,Essential,Expert
JS0420,J107,S056,Preferred,Beginner
JS0421,J107,S055,Nice-to-have,Intermediate
JS0422,J107,S058,Preferred,Expert
JS0423,J107,S057,Preferred,Expert
JS0424,J108,S056,Essential,Intermediate
JS0425,J108,S055,Essential,Beginner
JS0426,J108,S058,Essential,Intermediate
JS0427,J108,S057,Nice-to-have,Intermediate
JS0428,J109,S056,Essential,Expert
JS0429,J109,S055,Essential,Beginner
JS0430,J109,S058,Essential,Intermediate
JS0431,J109,S057,Preferred,Intermediate
JS0432,J110,S056,Preferred,Beginner
JS0433,J110,S055,Preferred,Expert
JS0434,J110,S058,Essential,Advanced
JS0435,J110,S057,Nice-to-have,Advanced
JS0436,J111,S056,Essential,Advanced
JS0437,J111,S055,Essential,Expert
JS0438,J111,S058,Essential,Expert
JS0439,J111,S057,Essential,Advanced
JS0440,J112,S056,Nice-to-have,Beginner
JS0441,J112,S055,Nice-to-have,Beginner
JS0442,J112,S058,Essential,Expert
JS0443,J112,S057,Preferred,Advanced
JS0444,J113,S056,Essential,Expert
JS0445,J113,S055,Preferred,Beginner
JS0446,J113,S058,Nice-to-have,Beginner
JS0447,J113,S057,Nice-to-have,Beginner
JS0448,J114,S056,Essential,Expert
JS0449,J114,S055,Nice-to-have,Intermediate
JS0450,J114,S058,Essential,Expert
JS0451,J114,S057,Preferred,Beginner
JS0452,J115,S056,Preferred,Intermediate
JS0453,J115,S055,Nice-to-have,Beginner
JS0454,J115,S058,Essential,Intermediate
JS0455,J115,S057,Nice-to-have,Beginner
JS0456,J116,S056,Essential,Beginner
JS0457,J116,S055,Essential,Advanced
JS0458,J116,S058,Preferred,Advanced
JS0459,J116,S057,Essential,Intermediate
JS0460,J117,S056,Preferred,Expert
JS0461,J117,S055,Essential,Beginner
JS0462,J117,S058,Essential,Intermediate
JS0463,J117,S057,Preferred,Beginner
JS0464,J118,S056,Nice-to-have,Advanced
JS0465,J118,S055,Essential,Advanced
JS0466,J118,S058,Preferred,Beginner
JS0467,J118,S057,Essential,Beginner
JS0468,J119,S056,Nice-to-have,Beginner
JS0469,J119,S055,Preferred,Intermediate
JS0470,J119,S058,Nice-to-have,Intermediate
JS0471,J119,S057,Essential,Advanced
JS0472,J120,S056,Nice-to-have,Beginner
JS0473,J120,S055,Essential,Expert
JS0474,J120,S058,Essential,Beginner
JS0475,J120,S057,Essential,Expert
JS0476,J121,S071,Preferred,Beginner
JS0477,J121,S072,Nice-to-have,Beginner
JS0478,J121,S055,Essential,Advanced
JS0479,J122,S071,Nice-to-have,Intermediate
JS0480,J122,S055,Preferred,Advanced
JS0481,J123,S071,Essential,Expert
JS0482,J123,S055,Preferred,Expert
JS0483,J124,S071,Essential,Advanced
JS0484,J124,S055,Essential,Intermediate
JS0485,J125,S071,Preferred,Expert
JS0486,J125,S055,Essential,Intermediate
JS0487,J126,S071,Essential,Advanced
JS0488,J126,S055,Nice-to-have,Expert
JS0489,J127,S071,Preferred,Expert
JS0490,J127,S055,Essential,Expert
JS0491,J128,S071,Essential,Expert
JS0492,J128,S055,Nice-to-have,Beginner
JS0493,J129,S071,Essential,Beginner
JS0494,J129,S055,Essential,Expert
JS0495,J130,S071,Nice-to-have,Advanced
JS0496,J130,S055,Preferred,Intermediate
JS0497,J131,S071,Preferred,Beginner
JS0498,J131,S079,Essential,Expert
JS0499,J131,S080,Preferred,Advanced
JS0500,J131,S055,Essential,Expert
JS0501,J132,S071,Essential,Advanced
JS0502,J132,S055,Essential,Intermediate
JS0503,J133,S071,Preferred,Advanced
JS0504,J133,S055,Essential,Advanced
JS0505,J134,S071,Essential,Advanced
JS0506,J134,S055,Essential,Advanced
JS0507,J135,S071,Preferred,Advanced
JS0508,J135,S055,Essential,Beginner
JS0509,J136,S061,Essential,Advanced
JS0510,J136,S064,Preferred,Advanced
JS0511,J136,S062,Essential,Intermediate
JS0512,J136,S067,Essential,Intermediate
JS0513,J137,S061,Preferred,Advanced
JS0514,J137,S067,Preferred,Intermediate
JS0515,J137,S055,Essential,Beginner
JS0516,J138,S062,Essential,Advanced
JS0517,J138,S057,Nice-to-have,Intermediate
JS0518,J139,S061,Essential,Expert
JS0519,J139,S067,Nice-to-have,Beginner
JS0520,J139,S055,Essential,Expert
JS0521,J140,S061,Essential,Intermediate
JS0522,J140,S067,Preferred,Expert
JS0523,J140,S055,Essential,Intermediate
JS0524,J141,S061,Nice-to-have,Expert
JS0525,J141,S067,Nice-to-have,Intermediate
JS0526,J141,S055,Nice-to-have,Expert
JS0527,J142,S061,Essential,Intermediate
JS0528,J142,S067,Preferred,Advanced
JS0529,J142,S055,Essential,Advanced
JS0530,J143,S061,Preferred,Beginner
JS0531,J143,S067,Nice-to-have,Beginner
JS0532,J143,S055,Nice-to-have,Expert
JS0533,J144,S061,Essential,Intermediate
JS0534,J144,S067,Essential,Expert
JS0535,J144,S055,Nice-to-have,Advanced
JS0536,J145,S061,Nice-to-have,Beginner
JS0537,J145,S067,Nice-to-have,Expert
JS0538,J145,S055,Nice-to-have,Intermediate
JS0539,J146,S061,Preferred,Expert
JS0540,J146,S067,Preferred,Beginner
JS0541,J146,S055,Preferred,Advanced
JS0542,J147,S061,Nice-to-have,Intermediate
JS0543,J147,S067,Essential,Intermediate
JS0544,J147,S055,Essential,Expert
JS0545,J148,S061,Essential,Beginner
JS0546,J148,S067,Essential,Intermediate
JS0547,J148,S055,Preferred,Intermediate
JS0548,J149,S061,Nice-to-have,Beginner
JS0549,J149,S067,Nice-to-have,Intermediate
JS0550,J149,S055,Preferred,Beginner
JS0551,J150,S061,Preferred,Intermediate
JS0552,J150,S067,Essential,Advanced
JS0553,J150,S055,Nice-to-have,Advanced
